id,skyddsrumsnr,gatuadress,kommunnamn,antalplatser,latitude,longitude
62923628,123386-3,Eva Bonniers Gata 10,Stockholm,98,17.96047964528572,59.28698941884659
62923629,123387-9,Eva Bonniers Gata 8,Stockholm,98,17.96083097813584,59.28658604267321
62923630,123388-4,Eva Bonniers Gata 6,Stockholm,98,17.961172569815957,59.28627274694438
62923631,123390-5,Eva Bonniers Gata 4,Stockholm,98,17.9616154253559,59.285912215769805
62923632,123391-0,Eva Bonniers Gata 2,Stockholm,93,17.962042303230945,59.2855700185904
62923633,123392-6,Elsa Borgs Gata 6,Stockholm,43,17.968844847144428,59.28342011001646
62923634,123394-7,Fruängsgatan 3,Stockholm,43,17.969316620181296,59.2837957448758
62923635,123395-2,Fruängsgatan 9,Stockholm,80,17.968557497527982,59.28375016213192
62923636,123396-8,Fruängsgatan 15,Stockholm,53,17.96826701714758,59.284044340858074
62923637,123397-3,Fruängsgatan 23,Stockholm,53,17.968240662902428,59.28454815897605
62923638,123398-9,Fruängsgatan 31,Stockholm,52,17.967259482327762,59.284372843033296
62923639,123399-4,Fruängsgatan 33,Stockholm,39,17.967185905469513,59.28453626894124
62923640,123400-8,Ellen Keys Gata 81,Stockholm,105,17.96629392774423,59.284376883849916
62923641,123401-3,Ellen Keys Gata 71,Stockholm,22,17.96629392774423,59.284376883849916
62923642,123402-9,Fruängsgatan 57-61,Stockholm,132,17.961624243072073,59.28379132114592
62923643,123403-4,Fruängsgatan 57-61,Stockholm,136,17.961844325966663,59.284100821912894
62923644,123405-5,Fruängsgatan 57-61,Stockholm,132,17.963246811992615,59.28346683144195
62923645,123406-0,Gamla Södertäljevägen 7,Stockholm,238,17.95777385592761,59.28191995060751
62923646,123407-6,Rävsnäsvägen 41,Stockholm,45,18.028619528428322,59.27861884579218
62923647,123409-7,Svartlösavägen 81,Stockholm,25,17.985611567843332,59.28076302243542
62923648,123411-8,Störtloppsvägen 7,Stockholm,80,17.968509343707034,59.291461261736806
62923649,123412-3,Isgränd 4,Stockholm,75,17.967980190256892,59.291033015324395
62923650,123413-9,Isgränd 2,Stockholm,75,17.968876592458958,59.29103952826933
62923651,123416-5,Fruängsplan 4,Stockholm,120,17.965816592381383,59.28534926636546
62923652,123417-0,Hanna Paulis Gata 9,Stockholm,48,17.96302472874869,59.286365379324344
62923653,123418-6,Hanna Paulis Gata 3,Stockholm,46,17.963136963946425,59.28684806761422
62923654,123419-1,Hanna Paulis Gata 11,Stockholm,58,17.962491491944448,59.286494337077606
62923655,123420-7,Hanna Paulis Gata 21,Stockholm,27,17.96196177567987,59.28686583420468
62923656,123421-2,Hanna Paulis Gata 27,Stockholm,40,17.962280815520785,59.287101194247484
62923657,123422-8,Hanna Paulis Gata 31,Stockholm,40,17.962287461989742,59.28737960869344
62923658,123423-3,Hanna Paulis Gata 33,Stockholm,67,17.9618235421356,59.28749799960408
62923659,123424-9,Hanna Paulis Gata 14,Stockholm,53,17.96192094893443,59.28781029235757
62923660,123425-4,Hanna Paulis Gata 10,Stockholm,60,17.962676624458936,59.2876133716939
62923661,123427-5,Hanna Paulis Gata 4,Stockholm,60,17.963328264775654,59.2872301095535
62923662,123428-0,Kristallvägen 88,Stockholm,75,18.000116574062314,59.287546423277526
62923663,123429-6,Kristallvägen 80,Stockholm,84,17.999345488129666,59.28736650214294
62923664,123430-1,Broddgränd 17,Stockholm,46,17.968784689719904,59.289783582775115
62923665,123431-7,Broddgränd 11,Stockholm,28,17.967987352841046,59.29010729293035
62923666,123432-2,Broddgränd 6,Stockholm,34,17.969009567875172,59.29014687944121
62923667,123433-8,Broddgränd 14,Stockholm,72,17.967987352841046,59.29010729293035
62923668,123434-3,Störtloppsvägen 30,Stockholm,80,17.96713938950883,59.29388277821119
62923669,123435-9,Isjaktsgränd 18-20,Stockholm,50,17.96763429486202,59.29432079528271
62923670,123436-4,Isjaktsgränd 24-26,Stockholm,33,17.967862109625646,59.293911230539294
62923671,123438-5,Isjaktsgränd 1,Stockholm,38,17.966855778182033,59.29566847163115
62923672,123439-0,Isjaktsgränd 9,Stockholm,50,17.966855778182033,59.29566847163115
62923673,123440-6,Kata Dalströms Gata 7,Stockholm,96,17.96104241651465,59.28517941785213
62923674,123441-1,Kata Dalströms Gata 17,Stockholm,100,17.9595883994233,59.285221479865534
62923675,123442-7,Lina Sandells Plan 7,Stockholm,62,17.961826452767916,59.284703290212725
62923676,123443-2,Lina Sandells Plan 15,Stockholm,85,17.96172010504126,59.28449004682376
62923677,123444-8,Broddgränd 29,Stockholm,43,17.967013387312367,59.28981499026519
62923678,123445-3,Broddgränd 35,Stockholm,32,17.965941717835573,59.28981245930376
62923679,123446-9,Vasaloppsvägen 100,Stockholm,94,17.96187420239293,59.29272669102457
62923680,123447-4,Snöbollsgränd 14,Stockholm,64,17.96175219939047,59.291929714767576
62923681,123449-5,Snöbollsgränd 6,Stockholm,50,17.96175219939047,59.291929714767576
62923682,123450-0,Snöbollsgränd 18,Stockholm,60,17.960653558779693,59.29141555212909
62923683,123451-6,Vasaloppsvägen 86,Stockholm,119,17.962753572786198,59.29334468152915
62923684,123452-1,Störtloppsvägen 2,Stockholm,100,17.969824476719335,59.29123356665276
62923685,123453-7,Störtloppsvägen 2,Stockholm,144,17.969854391798822,59.290972289536846
62923686,123454-2,Störtloppsvägen 2,Stockholm,120,17.969824476719335,59.29123356665276
62923687,123456-3,Iskanegränd 6,Stockholm,111,17.964497935475944,59.29421254776204
62923688,123457-9,Slalomvägen 6,Stockholm,53,17.97470785246401,59.29143655419598
62923689,123458-4,Slalomvägen 12,Stockholm,65,17.974363685298812,59.29192067985982
62923690,123460-5,Skridskovägen 7,Stockholm,140,17.97625350773272,59.29264129099308
62923691,123461-0,Skridskovägen 9E,Stockholm,146,17.975635310782174,59.29199944532809
62923692,123462-6,Skridskovägen 9E,Stockholm,105,17.976377878555642,59.292054354211714
62923693,123463-1,Annebodavägen 70,Stockholm,64,18.026441843190096,59.288105076814695
62923694,123464-7,Annebodavägen 64,Stockholm,109,18.02752060774918,59.287792424872244
62923695,123465-2,Annebodavägen 23,Stockholm,74,18.026342253857923,59.286984112455414
62923696,123466-8,Annebodavägen 25,Stockholm,50,18.02662349215336,59.28718425542137
62923697,123467-3,Annebodavägen 31,Stockholm,50,18.02612235716705,59.287672180491064
62923698,123468-9,Annebodavägen 35,Stockholm,50,18.025643519685303,59.28801580514809
62923699,123469-4,Annebodavägen 39,Stockholm,50,18.025218850219133,59.28837614116479
62923700,123471-5,Annebodavägen 43,Stockholm,50,18.024722465403762,59.28872017002416
62923701,123473-6,Glasfibergatan 4,Stockholm,133,18.001929561354984,59.28141200580493
62923702,123474-1,Glasfibergatan 4,Stockholm,142,18.00275230984648,59.28158173160543
62923703,123476-2,Lina Sandells Plan 14,Stockholm,133,17.959392477774067,59.28357251455744
62923704,123477-8,Lina Sandells Plan 32,Stockholm,100,17.959392477774067,59.28357251455744
62923705,123478-3,Lina Sandells Plan 2,Stockholm,94,17.959709914275866,59.28419431408576
62923706,123479-9,Rubinvägen 22,Stockholm,80,17.998238627757686,59.289557665354465
62923707,123480-4,Rubinvägen 18,Stockholm,76,17.99907387527909,59.289268836191
62923708,123482-5,Kristallvägen 77,Stockholm,73,18.000784470073288,59.28934622473549
62923709,123483-0,Pliggvägen 35,Stockholm,25,18.013114130924098,59.28596110890736
62923710,123484-6,Pliggvägen 39,Stockholm,48,18.012421053289746,59.28586932041585
62923711,123485-1,Pliggvägen 45,Stockholm,30,18.0116889610367,59.28573350028503
62923712,123486-7,Pliggvägen 49,Stockholm,45,18.011455646432072,59.285478300354676
62923713,123487-2,Pliggvägen 24,Stockholm,44,18.01235791776644,59.28634704992585
62923714,123488-8,Kristallvägen 101,Stockholm,42,18.001941758676374,59.289921606766036
62923715,123489-3,Sulvägen 81,Stockholm,46,18.00985574144326,59.28585678967825
62923716,123490-9,Puckgränd 13,Stockholm,50,17.97347502326582,59.289991016847566
62923717,123491-4,Rävsnäsvägen 83,Stockholm,36,18.029243292896396,59.27990733313897
62923718,123493-5,Rävsnäsvägen 95,Stockholm,57,18.03028112317549,59.27933500497661
62923719,123494-0,Rävsnäsvägen 89,Stockholm,58,18.03028112317549,59.27933500497661
62923720,123495-6,Konsumentvägen 8 D,Stockholm,70,18.006286683990574,59.27108514650064
62923721,123496-1,Konsumentvägen 8,Stockholm,50,18.005313863601927,59.27060439706376
62923722,123497-7,Ellen Fries Gata 3,Stockholm,70,17.970914312421005,59.28842302659992
62923723,123498-2,Ellen Fries Gata 7,Stockholm,44,17.970914312421005,59.28842302659992
62923724,123499-8,Ellen Fries Gata 13,Stockholm,50,17.972050891993664,59.28816343879711
62923725,123500-1,Ellen Fries Gata 23,Stockholm,50,17.971482459328932,59.28788886604777
62923726,123501-7,Fredrika Bremers Gata 22,Stockholm,84,17.972247629687782,59.28719744054583
62923727,123502-2,Fredrika Bremers Gata 28,Stockholm,79,17.971762159714874,59.28686705820913
62923728,123503-8,Fredrika Bremers Gata 12,Stockholm,80,17.971630684653697,59.287373277996515
62923729,123504-3,Sulvägen 27,Stockholm,30,18.00720041882367,59.28581932992798
62923730,123505-9,Sulvägen 23,Stockholm,68,18.006915911881865,59.2859786690495
62923731,123506-4,Fredrika Bremers Gata 33,Stockholm,99,17.973621863450127,59.28624048539771
62923732,123508-5,Fruängsgatan 51,Stockholm,98,17.963749001426077,59.284596616991195
62923733,123509-0,Fruängsgatan 49,Stockholm,97,17.964081964191557,59.284184663367064
62923734,123510-6,Kristallvägen 124,Stockholm,30,18.00207247966802,59.28761813816645
62923735,123511-1,Kristallvägen 120,Stockholm,62,18.001557550591194,59.28795351695144
62923736,123512-7,Kristallvägen 106,Stockholm,98,18.000884507980736,59.287690468073976
62923737,123513-2,Svartlösavägen 75,Stockholm,32,17.98603696248314,59.28140924577857
62923738,123514-8,Konvaljestigen 17,Stockholm,128,17.972048773954928,59.27505286180993
62923739,123516-9,Isgränd 17,Stockholm,86,17.96661428023059,59.29067775882388
62923740,123517-4,Isgränd 5,Stockholm,86,17.9684962811142,59.29070673469005
62923741,123519-5,Svartlösavägen 77-79,Stockholm,30,17.98604631338095,59.28091479622759
62923742,123521-6,Herr Stens Väg 8-10,Stockholm,30,18.00522949718231,59.27681579168964
62923743,123522-1,Sulvägen 9,Stockholm,29,18.00555158020804,59.28663921804156
62923744,123523-7,Stövelvägen 23,Stockholm,38,18.00826915742315,59.286585411560544
62923745,123524-2,Stövelvägen 11,Stockholm,110,18.00702198303845,59.287180364499896
62923746,123525-8,Stövelvägen 20,Stockholm,116,18.006964083930455,59.28672340784344
62923747,123526-3,Isjaktsgränd 19,Stockholm,69,17.96743226199016,59.29502630985872
62923748,123527-9,Varuvägen 32,Stockholm,25,18.00234079377209,59.27113133793039
62923749,123528-4,Reuterholmsvägen 25,Stockholm,25,18.03047877828201,59.28037280855172
62923750,123530-5,Reuterholmsvägen 19,Stockholm,25,18.030898582725293,59.28055174211496
62923751,123531-0,Reuterholmsvägen 13,Stockholm,25,18.031354237832016,59.280738825450506
62923752,123532-6,Reuterholmsvägen 11,Stockholm,25,18.031555809494016,59.28103067621393
62923753,123533-1,Vibyholmsvägen 9,Stockholm,29,18.031789919870235,59.28050401788647
62923754,123534-7,Vibyholmsvägen 13,Stockholm,44,18.03166007020578,59.28042616692746
62923755,123535-2,Örby Slottsväg 42,Stockholm,73,18.03303891976669,59.280528827368975
62923756,123536-8,Vibyholmsvägen 21,Stockholm,75,18.031765125436092,59.27983062522025
62923757,123537-3,Vibyholmsvägen 29,Stockholm,68,18.03297107110666,59.27976657539149
62923758,123538-9,Sulvägen 61,Stockholm,90,18.009211295009326,59.28571892855334
62923759,123545-7,Bergtallsvägen 6-12,Stockholm,300,17.969720358929735,59.28198034077203
62923760,123546-2,Terrängvägen 30,Stockholm,57,17.973520096468327,59.29433023962337
62923761,123547-8,Terrängvägen 36,Stockholm,44,17.972190626485087,59.29399217853793
62923762,123548-3,Ellen Keys Gata 37,Stockholm,77,17.96745026979088,59.28736982090901
62923763,123549-9,Elin Wägners Gata 1,Stockholm,20,17.972094605202358,59.28423554509115
62923764,123550-4,Elin Wägners Gata 5-9,Stockholm,160,17.97243778928956,59.28434452505277
62923765,123552-5,Elin Wägners Gatan 23,Stockholm,121,17.970726986674116,59.28506652949801
62923766,123553-0,Elin Wägners Gatan 31,Stockholm,84,17.970443226617455,59.28563912651314
62923767,123554-6,Elin Wägners Gata 39,Stockholm,88,17.970978581621576,59.286139109019516
62923768,123555-1,Elin Wägners Gata 2,Stockholm,88,17.9726194766714,59.284816634695424
62923769,123557-2,Kedjevägen 57,Stockholm,154,17.99609691342669,59.2841793697368
62923770,123558-8,Kedjevägen 57,Stockholm,80,17.99570774355189,59.28374800923125
62923771,123559-3,Sulvägen 4,Stockholm,60,18.0051915851456,59.287734857155414
62923772,123560-9,Sulvägen 18,Stockholm,60,18.004680479818113,59.28711762778493
62923773,123561-4,Stövelvägen 8,Stockholm,50,18.00508824525562,59.28735982481317
62923774,123563-5,Sulvägen 68,Stockholm,69,18.010570855762943,59.28480683674237
62923775,123564-0,Sulvägen 64,Stockholm,32,18.0108115648206,59.28454965453533
62923776,123565-6,Fredrika Bremers Gata 34,Stockholm,106,17.9728720724038,59.28630254613427
62923777,123566-1,Vantörsvägen 285,Stockholm,90,17.95148266374864,59.2875442269271
62923778,123567-7,Bandyvägen 40,Stockholm,50,17.976840107313546,59.290911541298655
62923779,123568-2,Kristallvägen 58,Stockholm,40,17.99727490792791,59.28818701438712
62923780,123569-8,Kristallvägen 68,Stockholm,68,17.997976841339874,59.28817983221954
62923781,123570-3,Kristallvägen 54,Stockholm,83,17.997278515586487,59.288627251525305
62923782,123571-9,Korngränd 1,Stockholm,42,17.994165009693916,59.283379140148526
62923783,123572-4,Doktor Widerströms Gata 80,Stockholm,57,17.95820289172991,59.286457103194
62923784,123574-5,Doktor Widerströms Gata 86,Stockholm,81,17.95873691685009,59.286741500335275
62923785,123575-0,Doktor Widerströms Gata 39,Stockholm,104,17.9591365635846,59.28729853037228
62923786,123576-6,Doktor Widerströms Gatan 78,Stockholm,58,17.958543315743203,59.28714128475065
62923787,123577-1,Doktor Widerströms Gata 68,Stockholm,76,17.95772765166448,59.28705199343784
62923788,123578-7,Doktor Widerströms gata 62,Stockholm,104,17.957278936962112,59.286738695733824
62923789,123579-2,Doktor Widerströms Gatan 54,Stockholm,54,17.957115757129245,59.28627513317735
62923790,123580-8,Isjaktsgränd 31,Stockholm,92,17.96875836920465,59.29451981130522
62923791,123582-9,Älvsjövägen 90,Stockholm,28,17.993299956848368,59.28492668130237
62923792,123583-4,Pliggvägen 32,Stockholm,50,18.01115750983342,59.28588059149214
62923793,123585-5,Pliggvägen 38,Stockholm,50,18.010606757829432,59.28640554661562
62923794,123586-0,Klackvägen 4,Stockholm,128,18.009994689540086,59.28683306939852
62923795,123587-6,Klackvägen 8,Stockholm,50,18.010566579527364,59.287143342971824
62923796,123588-1,Klackvägen 18,Stockholm,50,18.011307768976724,59.286587023120944
62923797,123589-7,Klackvägen 22,Stockholm,25,18.011792282880112,59.28630622498623
62923798,123590-2,Klackvägen 24,Stockholm,37,18.01169759611962,59.286029844594324
62923799,123591-8,Kata Dahlströms Gata 10,Stockholm,93,17.959004525123895,59.28598059364132
62923800,123592-3,Eva Bonniers Gata 23,Stockholm,130,17.95964994384608,59.2855256036076
62923801,123593-9,Eva Bonniers Gata 39,Stockholm,107,17.960251367098113,59.28638356471661
62923802,123594-4,Eva Bonniers Gata 9,Stockholm,115,17.960886643794677,59.28581198130058
62923803,123596-5,Lina Sandells Plan 1,Stockholm,35,17.960627178197175,59.28444302840846
62923804,123597-0,Rävsnäsvägen 50,Stockholm,41,18.029725933462867,59.279213139785845
62923805,123598-6,Rävsnäsvägen 56,Stockholm,41,18.029725933462867,59.279213139785845
62923806,123599-1,Rävsnäsvägen 60/62,Stockholm,41,18.029725933462867,59.279213139785845
62923807,123600-5,Rävsnäsvägen 42,Stockholm,45,18.02841169147081,59.27963913072744
62923808,123601-0,Rävsnäsvägen 32,Stockholm,117,18.02894930685173,59.27897061966546
62923809,123602-6,Skidvägen 17,Stockholm,105,17.97698703507768,59.29399937951414
62923810,123603-1,Fruängsgatan 47,Stockholm,105,17.964238624210257,59.2847741710769
62923811,123604-7,Agnes Lagerstedts Gata 10,Stockholm,90,17.96939333707405,59.285078995473675
62923812,123605-2,Agnes Lagerstedts Gata 12,Stockholm,80,17.968903015443797,59.28529686113395
62923813,123606-8,Agnes Lagerstedts Gata 14,Stockholm,75,17.968645682359867,59.285770004633754
62923814,123607-3,Agnes Lagerstedts Gata 16,Stockholm,75,17.968395711934093,59.286126161341116
62923815,123608-9,Agnes Lagerstedts Gata 18,Stockholm,36,17.968001604133473,59.28644067477358
62923816,123611-5,Blackensvägen 22 A,Stockholm,42,17.99997667375614,59.27997433033676
62923817,123612-0,Blackensvägen 10 B,Stockholm,50,18.0006116495191,59.27980692446774
62923818,123613-6,Långbrodalsvägen 14,Stockholm,28,18.00109364042168,59.27969696090279
62923819,123614-1,Sulvägen 39,Stockholm,70,18.008519128297085,59.2854383887741
62923820,123615-7,Sulvägen 45,Stockholm,50,18.009035534903223,59.285120918929245
62923821,123616-2,Sulvägen 47,Stockholm,33,18.00922991445717,59.28513439647427
62923822,123617-8,Kristallvägen 148,Stockholm,125,18.002937933625873,59.28846982714401
62923823,123618-3,Kristallvägen 134,Stockholm,72,18.0021931753366,59.28819046725533
62923824,123619-9,Lysviksgatan 10,Stockholm,71,18.09346161103299,59.2468266607843
62923825,123620-4,Fredrika Bremers Gata 3,Stockholm,72,17.973719753985822,59.28836793907281
62923826,123622-5,Fredrika Bremers Gata 15,Stockholm,108,17.972903699884977,59.2874700079359
62923827,123623-0,Fredrika Bremers Gata 21,Stockholm,54,17.97343017358292,59.287062594597714
62923828,123624-6,Jenny Nyströms Gata 12,Stockholm,123,17.97399360597692,59.287481049747655
62923829,123625-1,Skidvägen 1,Stockholm,75,17.973540016168716,59.29536317770871
62923830,123626-7,Skidvägen 3,Stockholm,75,17.97432067147079,59.29504880198238
62923831,123627-2,Skidvägen 5,Stockholm,80,17.975109146811292,59.29482410293606
62923832,123628-8,Skidvägen 7,Stockholm,79,17.975859412569964,59.294564328417266
62923833,123629-3,Vasaloppsvägen 50,Stockholm,75,17.968120049175564,59.2954599277958
62923834,123630-9,Vasaloppsvägen 46,Stockholm,48,17.968208158571198,59.29566459668925
62923835,123631-4,Vasaloppsvägen 40,Stockholm,33,17.96880159932151,59.29582179652865
62923836,123633-5,Vasaloppsvägen 32,Stockholm,50,17.969410109287125,59.29554732145729
62923837,123634-0,Vasaloppsvägen 28,Stockholm,25,17.96893236342098,59.295306611396654
62923838,123635-6,Glidgränd 7,Stockholm,60,17.97310941505101,59.29707137286923
62923839,123636-1,Glidgränd 1,Stockholm,37,17.973333265851643,59.29661695838987
62923840,123637-7,Terrängvägen 5,Stockholm,63,17.971637692416614,59.29691627425967
62923841,123638-2,Terrängvägen 9,Stockholm,22,17.972043625067307,59.29673627177691
62923842,123639-8,Terrängvägen 11,Stockholm,22,17.972248859398903,59.29647099084105
62923843,123640-3,Terrängvägen 15,Stockholm,25,17.97257995383007,59.29623877932896
62923844,123641-9,Snöflingebacken 11,Stockholm,57,17.97601975512609,59.29499199210017
62923845,123642-4,Snöflingebacken 9,Stockholm,68,17.975253515709305,59.295270104614325
62923846,123644-5,Snöflingebacken 7,Stockholm,60,17.974465814418767,59.2955037727271
62923847,123645-0,Snöflingebacken 5,Stockholm,75,17.973722565369442,59.29584425265499
62923848,123646-6,Stavgränd 10,Stockholm,93,17.97369550495893,59.296339102368265
62923849,123647-1,Stavgränd 20,Stockholm,41,17.974700193041233,59.29597467603823
62923850,123648-7,Terrängvägen 69,Stockholm,45,17.971887734983994,59.29354080776539
62923851,123649-2,Terrängvägen 61,Stockholm,36,17.972408679400058,59.29367268813793
62923852,123650-8,Terrängvägen 55,Stockholm,42,17.97298222347149,59.29380336502259
62923853,123651-3,Terrängvägen 51,Stockholm,48,17.973557337914823,59.29395197562188
62923854,123652-9,Telemarksgränd 6,Stockholm,89,17.970831651815395,59.29613491836876
62923855,123653-4,Telemarksgränd 16,Stockholm,21,17.970088352222476,59.29647537792221
62923856,123655-5,Stavgränd 13,Stockholm,71,17.975224319606625,59.29614241721753
62923857,123656-0,Stavgränd 5,Stockholm,48,17.975224319606625,59.29614241721753
62923858,123657-6,Lugntorpsvägen 55,Stockholm,80,17.96541550531969,59.294461225559154
62923859,123658-1,Lugntorpsvägen 45,Stockholm,41,17.965054424302643,59.29495469536719
62923860,123659-7,Terrängvägen 100,Stockholm,33,17.9633635988584,59.292683802652576
62923861,123660-2,Terrängvägen 94,Stockholm,106,17.964032194049814,59.293099905833614
62923862,123661-8,Störtloppsvägen 31,Stockholm,80,17.966620805167924,59.29377778120704
62923863,123662-3,Terrängvägen 72,Stockholm,50,17.966383082089894,59.29346868934117
62923864,123663-9,Terrängvägen 82,Stockholm,63,17.965105174077358,59.29331808810455
62923865,123664-4,Vasaloppsvägen 75,Stockholm,70,17.96533081852091,59.29369035928926
62923866,123666-5,Slalomvägen 28,Stockholm,42,17.97343754193339,59.29257985004584
62923867,123667-0,Slalomvägen 20,Stockholm,42,17.97343754193339,59.29257985004584
62923868,123668-6,Slalomvägen 36,Stockholm,53,17.974063059583514,59.29310471996874
62923869,123669-1,Slalomvägen 38,Stockholm,25,17.97455472500493,59.293102470313926
62923870,123670-7,Slalomvägen 44,Stockholm,46,17.97493198900619,59.29339937287648
62923871,123671-2,Skidvägen 12,Stockholm,49,17.976083009257948,59.293705542371626
62923872,123672-8,Skridskovägen 18,Stockholm,40,17.975593000516024,59.293123667394845
62923873,123673-3,Skridskovägen 16,Stockholm,38,17.975593000516024,59.293123667394845
62923874,123674-9,Skridskovägen 26,Stockholm,38,17.974628099493103,59.29253467324598
62923875,123675-4,Skridskovägen 24,Stockholm,38,17.974628099493103,59.29253467324598
62923876,123677-5,Störtloppsvägen 20,Stockholm,100,17.96809796528062,59.2929892794774
62923877,123678-0,Störtloppsvägen 14,Stockholm,150,17.96893199395954,59.29268270477884
62923878,123679-6,Störtloppsvägen 16,Stockholm,131,17.968405716754436,59.292892400884895
62923879,123680-1,Terrängvägen 45,Stockholm,45,17.974112575790056,59.2940740798469
62923880,123681-7,Terrängvägen 35,Stockholm,93,17.97450894571711,59.29438851919299
62923881,123682-2,Bjällervägen 35,Stockholm,74,17.957612601573164,59.28997504906682
62923882,123683-8,Bjällervägen 2,Stockholm,50,17.961476674005688,59.29057910076084
62923883,123684-3,Bjällervägen 8,Stockholm,42,17.96080817925724,59.290567352443745
62923884,123685-9,Bjällervägen 14,Stockholm,42,17.960087872962806,59.29056576508724
62923885,123686-4,Bjällervägen 20,Stockholm,45,17.959436909169995,59.290553611009805
62923886,123688-5,Bjällervägen 26,Stockholm,40,17.958662453678254,59.29053527510137
62923887,123689-0,Bjällervägen 32,Stockholm,41,17.96014474516077,59.290411709919546
62923888,123690-6,Bjällervägen 23,Stockholm,50,17.95958143146438,59.289993194018386
62923889,123691-1,Bjällervägen 17,Stockholm,50,17.960600517373173,59.28999697364483
62923890,123692-7,Bjällervägen 11,Stockholm,50,17.96162272228451,59.29003661825898
62923891,123693-2,Sulvägen 48,Stockholm,50,18.008402402201845,59.284713207197676
62923892,123694-8,Sulvägen 40,Stockholm,45,18.007442172962413,59.28517572500486
62923893,123695-3,Sulvägen 36,Stockholm,46,18.006870794728627,59.28546749998609
62923894,123696-9,Sulvägen 30,Stockholm,49,18.006049159285904,59.28590883207625
62923895,123697-4,Sulvägen 56,Stockholm,65,18.009553712945056,59.28442598638002
62923896,123699-5,Sulvägen 52,Stockholm,117,18.007715913654536,59.28429773966221
62923897,123700-9,Snöflingebacken 2,Stockholm,36,17.9727998922179,59.29573952498042
62923898,123701-4,Dr Widerströms Gata 4,Stockholm,130,17.9586169902115,59.284551648002214
62923899,123703-5,Dr Widerströms Gata 16,Stockholm,85,17.95799846307759,59.28470948452977
62923900,123704-0,Dr Widerströms Gata 26,Stockholm,108,17.957255680444142,59.28485216979884
62923901,123705-6,Dr Widerströms Gata 36,Stockholm,100,17.956976768376173,59.28528084840623
62923902,123706-1,Dr Widerströms Gata 50,Stockholm,78,17.95732767699897,59.28588392070721
62923903,123707-7,Kristallvägen 89,Stockholm,41,18.001252663055954,59.28867944004
62923904,123708-2,Jenny Linds Gata 18,Stockholm,42,17.96775627149089,59.28826144430916
62923905,123709-8,Jenny Linds Gata 12,Stockholm,50,17.96797097022495,59.28850815649361
62923906,123710-3,Jenny Linds Gata 6,Stockholm,35,17.96860079496149,59.28827812712555
62923907,123711-9,Aklejavägen 16,Stockholm,28,17.965659787536783,59.27769675903533
62923908,123712-4,Gamla Södertäljevägen 5,Stockholm,189,17.957730200057583,59.2826308352216
62923909,123714-5,Tosterövägen 7,Stockholm,50,18.033518257786746,59.27960105268056
62923910,123715-0,Tosterövägen 11,Stockholm,73,18.033108791242032,59.27934101003638
62923911,123716-6,Elsa Borgs Gata 62,Stockholm,57,17.9650753418359,59.28288602006949
62923912,123717-1,Elsa Borgs Gata 70,Stockholm,56,17.96491064582208,59.28321326888969
62923913,123718-7,Elsa Borgs Gata 76,Stockholm,46,17.96553188130324,59.28328897308572
62923914,123719-2,Elsa Borgs Gata 42,Stockholm,52,17.964148308304637,59.28232304962656
62923915,123720-8,Elsa Borgs Gata 48,Stockholm,108,17.964148308304637,59.28232304962656
62923916,123721-3,Elsa Borgs Gata 28,Stockholm,44,17.96549781867804,59.282292302393266
62923917,123722-9,Elsa Borgs Gata 36,Stockholm,102,17.96549781867804,59.282292302393266
62923918,123723-4,Elsa Borgs Gata 22,Stockholm,116,17.96679683138169,59.28289171340115
62923919,123727-6,Terrängvägen 54,Stockholm,41,17.9695123400372,59.293496178401426
62923920,123728-1,Terrängvägen 48,Stockholm,41,17.970277156369466,59.29360453092628
62923921,123729-7,Terrängvägen 99,Stockholm,87,17.96569414726237,59.29281942521922
62923922,123730-2,Terrängvägen 97,Stockholm,81,17.966411809989186,59.292991776522705
62923923,123731-8,Störtloppsvägen 23,Stockholm,63,17.967055446854445,59.293120881498524
62923924,123732-3,Störtloppsvägen 19,Stockholm,68,17.967712950484415,59.292602674690734
62923925,123733-9,Störtloppsvägen 13,Stockholm,64,17.967712950484415,59.292602674690734
62923926,123734-4,Domargränd 7,Stockholm,80,17.966040009002327,59.29235325788069
62923927,123736-5,Hoppgränd 4,Stockholm,81,17.966814944714752,59.29257821767017
62923928,123737-0,Domargränd 16,Stockholm,81,17.966427172082003,59.291958036140066
62923929,123738-6,Domargränd 18,Stockholm,81,17.967181444922073,59.292147520587
62923930,123748-0,Örtagårdsvägen 1-3,Stockholm,37,17.995222827472748,59.28002992951857
62923931,123749-6,Rävsnäsvägen 57,Stockholm,44,18.027823832937855,59.27914958126734
62923932,123750-1,Gimmerstavägen 10,Stockholm,41,18.035906581428307,59.28078545689655
62923933,123751-7,Gimmerstavägen 6-8,Stockholm,38,18.03543891810359,59.2804638749685
62923934,123754-3,Terrängvägen 8,Stockholm,96,17.971707208817897,59.29630363791243
62923935,123755-9,Kristallvägen 170,Stockholm,54,18.003235772403468,59.28985580747323
62923936,123756-4,Kristallvägen 164,Stockholm,50,18.002975723199373,59.29029314330602
62923937,123758-5,Kristallvägen 1,Stockholm,69,17.99959186569912,59.29016449788876
62923938,123759-0,Agnes Lagerstedts Gata 19,Stockholm,80,17.968080885012693,59.28573795743366
62923939,123760-6,Agnes Lagerstedts Gata 5,Stockholm,78,17.969022467511415,59.28485382091385
62923940,123761-1,Dalgatan 15 A,Södertälje,61,17.619537368850782,59.195887195835304
